entidad,pais_de_origen,anio,trimestre,fecha,millones_de_dolares
Aguascalientes,Uruguay,2007,2,2007-06-01,0
Aguascalientes,"Venezuela, República Bolivariana de",2007,2,2007-06-01,0
Aguascalientes,Otros países,2007,2,2007-06-01,0.002493
Aguascalientes,Alemania,2007,3,2007-09-01,1.3505640000000003
Aguascalientes,Argentina,2007,3,2007-09-01,0
Aguascalientes,Australia,2007,3,2007-09-01,0
Aguascalientes,Austria,2007,3,2007-09-01,0
Aguascalientes,Bélgica,2007,3,2007-09-01,0
Aguascalientes,Brasil,2007,3,2007-09-01,-1.6395999999999999
Aguascalientes,Canadá,2007,3,2007-09-01,-0.11290500000000001
Aguascalientes,Chile,2007,3,2007-09-01,0
Aguascalientes,"China, República Popular de",2007,3,2007-09-01,0
Aguascalientes,Colombia,2007,3,2007-09-01,0.30488300000000002
Aguascalientes,"Corea, República de",2007,3,2007-09-01,0
Aguascalientes,Dinamarca,2007,3,2007-09-01,0
Aguascalientes,Ecuador,2007,3,2007-09-01,0
Aguascalientes,El Salvador,2007,3,2007-09-01,0
Aguascalientes,España,2007,3,2007-09-01,0.47645900000000002
Aguascalientes,Estados Unidos de América,2007,3,2007-09-01,22.082801000000014
Aguascalientes,Francia,2007,3,2007-09-01,3.5975319999999997
Aguascalientes,Guatemala,2007,3,2007-09-01,0
Aguascalientes,Hong Kong,2007,3,2007-09-01,0
Aguascalientes,India,2007,3,2007-09-01,0
Aguascalientes,Italia,2007,3,2007-09-01,0
Aguascalientes,Japón,2007,3,2007-09-01,41.135823999999992
Aguascalientes,Luxemburgo,2007,3,2007-09-01,0
Aguascalientes,Nicaragua,2007,3,2007-09-01,0
Aguascalientes,Países Bajos,2007,3,2007-09-01,0.004529
Aguascalientes,Panamá,2007,3,2007-09-01,0
Aguascalientes,Perú,2007,3,2007-09-01,0
Aguascalientes,Portugal,2007,3,2007-09-01,0
Aguascalientes,Reino Unido de la Gran Bretaña e Irlanda del Norte,2007,3,2007-09-01,7.6000000000000004e-05
Aguascalientes,República Checa,2007,3,2007-09-01,1.2046570000000001
